Model,Overall Dice,Amsterdam Dice,Amsterdam N,Singapore Dice,Singapore N,Utrecht Dice,Utrecht N
Best-2/arch (6 models),0.8031685115297108,0.8003807580241622,50,0.8181005022141384,30,0.7928827766878643,30
ResEncL_3D_5fold_TTA_DS002,0.7985996022920238,0.8015338453669939,50,0.8142805265528035,30,0.7780282729062938,30
25D_5fold_ensemble_TTA_DS002,0.7921978470370606,0.7915409170586455,50,0.8089193401203599,30,0.7765712372511204,30
25D_5fold_ensemble_TTA_DS002_thr0.40,0.7882877565404445,0.7866361914750872,50,0.803333715366428,30,0.7759944061567234,30
CNN_3D_5fold_TTA_DS002,0.787553350104257,0.773612940615967,50,0.8077752993419716,30,0.7905654166803586,30
