dataset,combo,threshold,dice,nsd,hd95,sensitivity,ppv
DS002,DS002_DS003_CNN_3D_TTA + DS002_DS003_ResEncL_3D_TTA + DS002_ResEncL_3D_TTA,0.5,0.7991202035636457,0.9223482647435393,8.752194605560222,0.8405235774144055,0.7816570840098641
DS002,DS002_DS002_ResEncL_3D_TTA + DS002_DS003_CNN_3D_TTA + DS002_DS003_ResEncL_3D_TTA,0.5,0.7991201906470464,0.9223482733799055,8.752194605560222,0.8405235338306537,0.781657095930793
DS002,DS002_DS003_CNN_3D_TTA + DS002_DS003_ResEncL_3D_TTA + DS002_ResEncL_3D_softmax,0.5,0.798610705802348,0.9225695815547655,8.684428040911724,0.841070571480278,0.7801950373432853
DS002,DS002_DS002_ResEncL_3D_TTA + DS002_DS003_CNN_3D_TTA + DS002_DS003_ResEncL_3D_TTA + DS002_ResEncL_3D_TTA,0.45,0.7979420414084881,0.9211057608947859,8.548397456926159,0.8360861707629641,0.7841694895516742
DS002,DS002_DS003_CNN_3D_TTA + DS002_DS003_ResEncL_3D_TTA + DS002_ResEncL_3D_softmax + DS002_ResEncL_3D_TTA,0.45,0.7979103102393666,0.9215568409955841,8.421834766838103,0.8372216822193884,0.7830719508908012
DS002,DS002_DS002_ResEncL_3D_TTA + DS002_DS003_CNN_3D_TTA + DS002_DS003_ResEncL_3D_TTA + DS002_ResEncL_3D_softmax,0.45,0.7979097817550735,0.9215561326865137,8.421834766838103,0.8372216822193884,0.7830710443583402
DS002,DS002_DS002_ResEncL_3D_TTA + DS002_DS003_CNN_3D_TTA + DS002_DS003_ResEncL_3D_TTA + DS002_ResEncL_3D_softmax + DS002_ResEncL_3D_TTA,0.35,0.7958129040189094,0.921596387748999,8.444628889870813,0.8434295725716382,0.7731694041327997
DS002,DS002_DS003_CNN_3D_TTA + DS002_DS003_ResEncL_3D_TTA,0.5,0.7956645621698494,0.92262521056673,8.614205591192617,0.857288861031294,0.7604373823512685
DS002,DS002_DS003_ResEncL_3D_TTA + DS002_ResEncL_3D_TTA,0.45,0.7950988205458129,0.9203762456437874,7.841136997967459,0.8405172619169483,0.7752990713173693
DS002,DS002_DS002_ResEncL_3D_TTA + DS002_DS003_ResEncL_3D_TTA,0.45,0.7950957213285348,0.9203776853957605,7.840578633928011,0.8405172619169483,0.7752948767759583
