dataset,combo,threshold,dice,nsd,hd95,sensitivity,ppv
DS002,DS002_DS002_ResEncL_3D_TTA + DS002_DS003_CNN_25D_TTA_chfix + DS002_DS003_CNN_3D_TTA + DS002_DS003_ResEncL_25D_TTA_chfix + DS002_DS003_ResEncL_3D_TTA,0.5,0.8012345678281795,0.9222760390594472,6.6281821834315195,0.8345719604528823,0.7922689738598737
DS002,DS002_DS003_CNN_25D_TTA_chfix + DS002_DS003_CNN_3D_TTA + DS002_DS003_ResEncL_25D_TTA_chfix + DS002_DS003_ResEncL_3D_TTA + DS002_ResEncL_3D_TTA,0.5,0.8012337662135974,0.922276133008631,6.6281821834315195,0.8345719604528823,0.7922668199647557
DS002,DS002_DS003_CNN_25D_TTA_chfix + DS002_DS003_CNN_3D_TTA + DS002_DS003_ResEncL_25D_TTA_chfix + DS002_DS003_ResEncL_3D_TTA + DS002_ResEncL_3D_softmax,0.5,0.8009894880358724,0.9224050415728026,6.4695266030994825,0.8350190603321792,0.7913464399901303
DS002,DS002_DS003_CNN_25D_TTA_chfix + DS002_DS003_CNN_3D_TTA + DS002_DS003_ResEncL_25D_TTA_chfix + DS002_DS003_ResEncL_3D_TTA + DS002_ResEncL_3D_softmax + DS002_ResEncL_3D_TTA,0.45,0.800937772453769,0.9233461601521242,6.440792281953868,0.8372212711995078,0.7894223106178371
DS002,DS002_DS002_ResEncL_3D_TTA + DS002_DS003_CNN_25D_TTA_chfix + DS002_DS003_CNN_3D_TTA + DS002_DS003_ResEncL_25D_TTA_chfix + DS002_DS003_ResEncL_3D_TTA + DS002_ResEncL_3D_softmax,0.45,0.8009349921724928,0.9233430228577333,6.440792281953868,0.8372185088448767,0.7894195395437154
DS002,DS002_DS003_CNN_3D_TTA + DS002_DS003_ResEncL_25D_TTA_chfix + DS002_DS003_ResEncL_3D_TTA + DS002_ResEncL_3D_TTA,0.5,0.8007193985480968,0.922885271558256,7.248648417376305,0.8341276540064575,0.791267346793955
DS002,DS002_DS002_ResEncL_3D_TTA + DS002_DS003_CNN_25D_TTA_chfix + DS002_DS003_CNN_3D_TTA + DS002_DS003_ResEncL_25D_TTA_chfix + DS002_DS003_ResEncL_3D_TTA + DS002_ResEncL_3D_TTA,0.45,0.8007185876773167,0.9230041144093587,6.602284679330688,0.8360628023064952,0.7900862823833119
DS002,DS002_DS002_ResEncL_3D_TTA + DS002_DS003_CNN_3D_TTA + DS002_DS003_ResEncL_25D_TTA_chfix + DS002_DS003_ResEncL_3D_TTA,0.5,0.8007183168631583,0.9228839032033571,7.248648417376305,0.8341277823529314,0.791265621510419
DS002,DS002_DS002_ResEncL_3D_TTA + DS002_DS003_CNN_3D_TTA + DS002_DS003_ResEncL_25D_TTA_chfix + DS002_DS003_ResEncL_3D_TTA + DS002_ResEncL_3D_softmax,0.45,0.8006454765872544,0.9231417240635789,6.391589581080872,0.8315457200143054,0.7935163714668968
DS002,DS002_DS003_CNN_3D_TTA + DS002_DS003_ResEncL_25D_TTA_chfix + DS002_DS003_ResEncL_3D_TTA + DS002_ResEncL_3D_softmax + DS002_ResEncL_3D_TTA,0.45,0.8006454765872544,0.9231417240635789,6.391589581080872,0.8315457200143054,0.7935163714668968
DS002,DS002_DS003_CNN_3D_TTA + DS002_DS003_ResEncL_25D_TTA_chfix + DS002_DS003_ResEncL_3D_TTA + DS002_ResEncL_3D_softmax,0.5,0.8005121484677308,0.9230779278025425,7.2678645144349465,0.8347228732358917,0.7901523607698354
DS002,DS002_DS002_ResEncL_3D_TTA + DS002_DS003_CNN_3D_TTA + DS002_DS003_ResEncL_25D_TTA_chfix + DS002_DS003_ResEncL_3D_TTA + DS002_ResEncL_3D_TTA,0.45,0.8004825552914615,0.922491275831914,6.580645234814825,0.8301511539223277,0.7945499596270648
DS002,DS002_DS003_ResEncL_25D_TTA_chfix + DS002_DS003_ResEncL_3D_TTA + DS002_ResEncL_3D_TTA,0.45,0.8003147637918995,0.9226251067738959,6.744495303731288,0.8291454620664915,0.7947004278952425
DS002,DS002_DS002_ResEncL_3D_TTA + DS002_DS003_ResEncL_25D_TTA_chfix + DS002_DS003_ResEncL_3D_TTA,0.45,0.8003129410020076,0.9226127862355499,6.744495303731288,0.8291415364006551,0.7946999667720361
DS002,DS002_DS003_ResEncL_25D_TTA_chfix + DS002_DS003_ResEncL_3D_TTA + DS002_ResEncL_3D_softmax,0.5,0.7997869961509855,0.9216709723687102,6.553152663805427,0.8212214126012207,0.8018654610623013
