dataset,combo,threshold,dice,nsd,hd95,sensitivity,ppv
DS001,DS001_DS003_CNN_3D_TTA + DS001_DS003_ResEncL_25D_TTA_chfix + DS001_DS003_ResEncL_3D_TTA,0.4,0.716261363533171,0.8630101496674427,18.188212135171412,0.7448125717831637,0.7145983265204863
DS001,DS001_DS003_CNN_3D_TTA + DS001_DS003_ResEncL_25D_TTA_chfix + DS001_DS003_ResEncL_3D_TTA + DS001_ResEncL_3D_TTA,0.45,0.7140670226897108,0.862183182103646,18.971508247452807,0.7339971032251558,0.7216933911496942
DS001,DS001_DS003_CNN_3D_TTA + DS001_DS003_ResEncL_25D_TTA_chfix,0.5,0.7137504178069589,0.8609420767254563,16.410321919440435,0.7144886961216121,0.7380783422426744
DS001,DS001_DS003_CNN_3D_TTA + DS001_DS003_ResEncL_25D_TTA_chfix + DS001_DS003_ResEncL_3D_TTA + DS001_ResEncL_3D_softmax,0.5,0.7132600938082148,0.861644387975656,17.976107175022516,0.7089294912039277,0.7452030872756784
DS001,DS001_DS003_CNN_3D_TTA + DS001_DS003_ResEncL_3D_TTA,0.5,0.712721173390792,0.8586950286696162,18.484132745476128,0.7354093015608619,0.7185960588130084
DS001,DS001_DS002_ResEncL_3D_TTA + DS001_DS003_CNN_3D_TTA + DS001_DS003_ResEncL_25D_TTA_chfix + DS001_DS003_ResEncL_3D_TTA + DS001_ResEncL_3D_TTA,0.4,0.7116585789340297,0.8573245790863587,18.54072138175499,0.7205740948660366,0.7281165570020676
DS001,DS001_DS002_ResEncL_3D_TTA + DS001_DS003_CNN_3D_TTA + DS001_DS003_ResEncL_25D_TTA_chfix + DS001_DS003_ResEncL_3D_TTA,0.45,0.7113927652072332,0.8579032047439727,18.68030433399282,0.7291293057318993,0.7193982357328589
DS001,DS001_DS002_ResEncL_3D_TTA + DS001_DS003_CNN_3D_TTA + DS001_DS003_ResEncL_25D_TTA_chfix + DS001_DS003_ResEncL_3D_TTA + DS001_ResEncL_3D_softmax,0.4,0.7112388674904726,0.8596665076806237,18.541597979743184,0.7224409679759698,0.7250333956696771
DS001,DS001_DS003_CNN_3D_TTA + DS001_DS003_ResEncL_3D_TTA + DS001_ResEncL_3D_TTA,0.4,0.7109146462445727,0.8554661068900138,19.21898840088812,0.7293001447372812,0.7224011543122205
DS001,DS001_DS003_CNN_25D_TTA_chfix + DS001_DS003_CNN_3D_TTA + DS001_DS003_ResEncL_25D_TTA_chfix + DS001_DS003_ResEncL_3D_TTA + DS001_ResEncL_3D_TTA,0.45,0.7108845266277964,0.8565665470765129,19.33476966662724,0.724533490120047,0.7256446494297548
DS001,DS001_DS003_CNN_25D_TTA_chfix + DS001_DS003_CNN_3D_TTA + DS001_DS003_ResEncL_25D_TTA_chfix + DS001_DS003_ResEncL_3D_TTA + DS001_ResEncL_3D_softmax,0.45,0.7105364948901108,0.8575708157302806,19.2022563950793,0.7257224400612013,0.723537027835846
DS001,DS001_DS003_CNN_3D_TTA,0.5,0.7103116424464925,0.8539430267633402,18.860161707840167,0.7399940129707653,0.7098762094974518
DS001,DS001_DS003_CNN_3D_TTA + DS001_DS003_ResEncL_3D_TTA + DS001_ResEncL_3D_softmax,0.4,0.7096055185219398,0.856621562509816,18.929249070977495,0.7307380989610738,0.7176979346708818
DS001,DS001_DS003_CNN_25D_TTA_chfix + DS001_DS003_CNN_3D_TTA + DS001_DS003_ResEncL_25D_TTA_chfix + DS001_DS003_ResEncL_3D_TTA + DS001_ResEncL_3D_softmax + DS001_ResEncL_3D_TTA,0.45,0.7091741492138612,0.8566440270403596,18.54897212202662,0.7221080743089353,0.7255055565725673
DS001,DS001_DS003_CNN_3D_TTA + DS001_DS003_ResEncL_25D_TTA_chfix + DS001_DS003_ResEncL_3D_TTA + DS001_ResEncL_3D_softmax + DS001_ResEncL_3D_TTA,0.4,0.7090689210318172,0.8582619215120779,18.238582005074196,0.720138880711599,0.7264829237352718
