model,case,dice,hd95,avd,recall,precision,f1,gt_vol,pred_vol,vol_ratio,tp,fp,fn
DS001_DS003_final,MSL_0094,0.806441,37.1873,0.331081,0.939940,0.706148,0.806441,1332,1773,1.331081,1252,521,80
DS001_DS003_final,MSL_0095,0.672308,19.8595,0.117105,0.632943,0.716895,0.672308,5209,4599,0.882895,3297,1302,1912
DS001_DS003_final,MSL_0096,0.725191,41.7157,0.207526,0.649943,0.820144,0.725191,1754,1390,0.792474,1140,250,614
DS001_DS003_final,MSL_0097,0.707862,13.4164,0.362796,0.579457,0.909376,0.707862,42098,26825,0.637204,24394,2431,17704
DS001_DS003_final,MSL_0098,0.638076,25.5147,0.134998,0.595007,0.687867,0.638076,6689,5786,0.865002,3980,1806,2709
DS001_DS003_final,MSL_0099,0.438746,25.4951,0.101124,0.416563,0.463426,0.438746,2403,2160,0.898876,1001,1159,1402
DS001_DS003_final,MSL_0100,0.636166,10.6771,0.767935,0.880433,0.498001,0.636166,6649,11755,1.767935,5854,5901,795
DS001_DS003_final,MSL_0101,0.692294,7.5498,0.333474,0.807725,0.605730,0.692294,4738,6318,1.333474,3827,2491,911
DS001_DS003_final,MSL_0102,0.733161,8.6603,0.146820,0.679340,0.796244,0.733161,4182,3568,0.853180,2841,727,1341
DS001_DS003_final,MSL_0103,0.768866,25.1992,0.173659,0.835626,0.711984,0.768866,2908,3413,1.173659,2430,983,478
DS001_DS003_final,MSL_0104,0.733980,11.5326,0.006723,0.731513,0.736464,0.733980,4760,4728,0.993277,3482,1246,1278
DS001_DS003_final,MSL_0105,0.789386,3.0000,0.082840,0.756690,0.825036,0.789386,25338,23239,0.917160,19173,4066,6165
DS001_DS003_final,MSL_0106,0.685379,9.8995,0.166431,0.742414,0.636483,0.685379,16938,19757,1.166431,12575,7182,4363
DS001_DS003_final,MSL_0107,0.731432,5.0990,0.026292,0.741047,0.722063,0.731432,23429,24045,1.026292,17362,6683,6067
DS001_DS003_final,MSL_0108,0.590178,37.3280,0.570185,0.758433,0.483021,0.590178,919,1443,1.570185,697,746,222
DS001_DS003_final,MSL_0109,0.825330,12.9225,0.005672,0.822990,0.827685,0.825330,5994,5960,0.994328,4933,1027,1061
DS001_DS003_final,MSL_0110,0.596401,12.6886,1.172375,0.946004,0.435470,0.596401,9723,21122,2.172375,9198,11924,525
DS001_DS003_final,MSL_0111,0.738798,7.0000,0.222897,0.821136,0.671468,0.738798,3293,4027,1.222897,2704,1323,589
DS001_DS003_final,MSL_0112,0.817658,2.8284,0.227843,0.724509,0.938292,0.817658,32992,25475,0.772157,23903,1572,9089
DS001_DS003_final,MSL_0113,0.697068,5.4772,0.314845,0.587334,0.857228,0.697068,12206,8363,0.685155,7169,1194,5037
DS001_DS003_final,MSL_0114,0.663394,13.6015,0.169371,0.719574,0.615351,0.663394,1972,2306,1.169371,1419,887,553
DS001_DS003_final,MSL_0115,0.768358,11.2915,0.212375,0.686768,0.871948,0.768358,9568,7536,0.787625,6571,965,2997
DS001_final,MSL_0094,0.848890,36.2215,0.131381,0.904655,0.799602,0.848890,1332,1507,1.131381,1205,302,127
DS001_final,MSL_0095,0.658526,23.9385,0.270685,0.569399,0.780732,0.658526,5209,3799,0.729315,2966,833,2243
DS001_final,MSL_0096,0.631154,31.0419,0.448119,0.489738,0.887397,0.631154,1754,968,0.551881,859,109,895
DS001_final,MSL_0097,0.698592,14.4568,0.400304,0.558768,0.931752,0.698592,42098,25246,0.599696,23523,1723,18575
DS001_final,MSL_0098,0.588801,28.4526,0.414113,0.466886,0.796887,0.588801,6689,3919,0.585887,3123,796,3566
DS001_final,MSL_0099,0.424021,16.1400,0.288390,0.362880,0.509942,0.424021,2403,1710,0.711610,872,838,1531
DS001_final,MSL_0100,0.607860,24.1681,0.724620,0.828094,0.480160,0.607860,6649,11467,1.724620,5506,5961,1143
DS001_final,MSL_0101,0.702200,6.3246,0.158084,0.757704,0.654274,0.702200,4738,5487,1.158084,3590,1897,1148
DS001_final,MSL_0102,0.718014,11.0000,0.121712,0.674319,0.767765,0.718014,4182,3673,0.878288,2820,853,1362
DS001_final,MSL_0103,0.784748,5.0000,0.042985,0.767882,0.802372,0.784748,2908,2783,0.957015,2233,550,675
DS001_final,MSL_0104,0.709596,28.9645,0.176261,0.647059,0.785514,0.709596,4760,3921,0.823739,3080,841,1680
DS001_final,MSL_0105,0.783541,3.1623,0.027034,0.772950,0.794427,0.783541,25338,24653,0.972966,19585,5068,5753
DS001_final,MSL_0106,0.700366,11.0454,0.130122,0.654800,0.752749,0.700366,16938,14734,0.869878,11091,3643,5847
DS001_final,MSL_0107,0.731726,5.9622,0.171070,0.794315,0.678281,0.731726,23429,27437,1.171070,18610,8827,4819
DS001_final,MSL_0108,0.436906,31.8826,0.396083,0.350381,0.580180,0.436906,919,555,0.603917,322,233,597
DS001_final,MSL_0109,0.825201,7.5031,0.027194,0.813981,0.836735,0.825201,5994,5831,0.972806,4879,952,1115
DS001_final,MSL_0110,0.631594,9.4868,0.903116,0.916795,0.481734,0.631594,9723,18504,1.903116,8914,9590,809
DS001_final,MSL_0111,0.646549,9.0000,0.314607,0.748254,0.569185,0.646549,3293,4329,1.314607,2464,1865,829
DS001_final,MSL_0112,0.778969,4.2426,0.295860,0.663737,0.942620,0.778969,32992,23231,0.704140,21898,1333,11094
DS001_final,MSL_0113,0.656901,7.2801,0.411601,0.521711,0.886661,0.656901,12206,7182,0.588399,6368,814,5838
DS001_final,MSL_0114,0.686538,9.1104,0.041582,0.700811,0.672833,0.686538,1972,2054,1.041582,1382,672,590
DS001_final,MSL_0115,0.739966,12.8841,0.270903,0.639737,0.877437,0.739966,9568,6976,0.729097,6121,855,3447
