model,case,dice,hd95,avd,recall,precision,f1,gt_vol,pred_vol,vol_ratio,tp,fp,fn
DS002_final,WMH_0142,0.835682,1.9167,0.024027,0.845722,0.825878,0.835682,7117,7288,1.024027,6019,1269,1098
DS002_final,WMH_0143,0.495379,14.7365,0.572559,0.353562,0.827160,0.495379,758,324,0.427441,268,56,490
DS002_final,WMH_0144,0.888231,0.9583,0.081666,0.851962,0.927726,0.888231,10396,9547,0.918334,8857,690,1539
DS002_final,WMH_0145,0.731868,6.0000,0.388008,0.589883,0.963874,0.731868,70831,43348,0.611992,41782,1566,29049
DS002_final,WMH_0146,0.657731,6.5560,0.328216,0.549793,0.818406,0.657731,2410,1619,0.671784,1325,294,1085
DS002_final,WMH_0147,0.401734,21.4439,0.744102,0.252269,0.985816,0.401734,551,141,0.255898,139,2,412
DS002_final,WMH_0148,0.881722,1.3553,0.007557,0.878390,0.885079,0.881722,18658,18517,0.992443,16389,2128,2269
DS002_final,WMH_0149,0.776885,3.2919,0.268161,0.672720,0.919219,0.776885,5176,3788,0.731839,3482,306,1694
DS002_final,WMH_0150,0.752571,6.3827,0.108297,0.711821,0.798271,0.752571,2724,2429,0.891703,1939,490,785
DS002_final,WMH_0151,0.809122,3.0305,0.000000,0.809122,0.809122,0.809122,4626,4626,1.000000,3743,883,883
DS002_final,WMH_0152,0.667742,12.0000,0.404118,0.532819,0.894168,0.667742,777,463,0.595882,414,49,363
DS002_final,WMH_0153,0.699439,7.1200,0.433627,0.851087,0.593660,0.699439,5567,7981,1.433627,4738,3243,829
DS002_final,WMH_0154,0.819694,4.7917,0.132027,0.873805,0.771894,0.819694,4287,4853,1.132027,3746,1107,541
DS002_final,WMH_0155,0.884174,1.3553,0.074296,0.851329,0.919656,0.884174,12679,11737,0.925704,10794,943,1885
DS002_final,WMH_0156,0.915368,0.9583,0.049111,0.892890,0.939006,0.915368,19466,18510,0.950889,17381,1129,2085
DS002_final,WMH_0157,0.898465,1.3553,0.135859,0.837433,0.969093,0.898465,14228,12295,0.864141,11915,380,2313
DS002_final,WMH_0158,0.882211,0.9583,0.021122,0.891527,0.873086,0.882211,8380,8557,1.021122,7471,1086,909
DS002_final,WMH_0159,0.771254,3.1493,0.351556,0.906824,0.670948,0.771254,5012,6774,1.351556,4545,2229,467
DS002_final,WMH_0160,0.638522,22.4562,0.382646,0.516358,0.836406,0.638522,703,434,0.617354,363,71,340
DS002_final,WMH_0161,0.578947,10.9058,0.531685,0.425039,0.907591,0.578947,647,303,0.468315,275,28,372
DS002_final,WMH_0162,0.671184,4.0432,0.378151,0.544279,0.875260,0.671184,1547,962,0.621849,842,120,705
DS002_final,WMH_0163,0.837192,1.9167,0.047028,0.856878,0.818391,0.837192,5401,5655,1.047028,4628,1027,773
DS002_final,WMH_0164,0.822644,1.9167,0.206924,0.737532,0.929963,0.822644,5113,4055,0.793076,3771,284,1342
DS002_final,WMH_0165,0.640000,6.1757,0.216066,0.709141,0.583144,0.640000,361,439,1.216066,256,183,105
DS002_final,WMH_0166,0.791209,3.0000,0.269164,0.684726,0.936909,0.791209,1735,1268,0.730836,1188,80,547
DS002_final,WMH_0167,0.724472,6.5685,0.385820,0.584715,0.952024,0.724472,1086,667,0.614180,635,32,451
DS002_final,WMH_0168,0.906346,0.9583,0.006286,0.903498,0.909213,0.906346,14953,14859,0.993714,13510,1349,1443
DS002_final,WMH_0169,0.745163,4.5759,0.349112,0.875236,0.648750,0.745163,7943,10716,1.349112,6952,3764,991
DS002_final,WMH_0170,0.654841,15.2161,0.164800,0.708800,0.608516,0.654841,625,728,1.164800,443,285,182
